*a,Α
a)gaqoergi/a,ἀγαθοεργία
a)gaqoergo/s,ἀγαθοεργός
a)gaqoqe/leia,ἀγαθοθέλεια
a)gaqoqelh/s,ἀγαθοθελής
a)gaqologe/w,ἀγαθολογέω
a)gaqopoie/w,ἀγαθοποιέω
a)gaqopoi/hsis,ἀγαθοποίησις
a)gaqopoii/a,ἀγαθοποιία
a)gaqopoio/s,ἀγαθοποιός
a)gaqo/s,ἀγαθός
a)ga/qosmon,ἀγάθοσμον
a)gaqosu/mboulos,ἀγαθοσύμβουλος
a)gaqo/ths,ἀγαθότης
a)gaqotuxe/w,ἀγαθοτυχέω
a)gaqourge/w,ἀγαθουργέω
a)gaqofanh/s,ἀγαθοφανής
a)gaqofo/ros,ἀγαθοφόρος
a)gaqo/frwn,ἀγαθόφρων
a)gaqo/w,ἀγαθόω
a)ga/qunsis,ἀγάθυνσις
a)gaqu/nw,ἀγαθύνω
a)ga/qwma,ἀγάθωμα
a)gaqwsu/nh,ἀγαθωσύνη
a)gai/omai,ἀγαίομαι
a)gai=os1,ἀγαῖοσ
a)gai=os2,ἀγαῖος
a)gakleh/s,ἀγακλεής
a)gakleito/s,ἀγακλειτός
a)gaklume/nh,ἀγακλυμένη
a)gakluto/s,ἀγακλυτός
a)gaktime/nh,ἀγακτιμένη
a)galakti/a,ἀγαλακτία
a)ga/laktos,ἀγάλακτος
a)ga/lac,ἀγάλαξ
a)galli/ama,ἀγαλλίαμα
a)galli/asis,ἀγαλλίασις
a)gallia/w,ἀγαλλιάω
a)gallia/zei,ἀγαλλιάζει
a)ga/llios,ἀγάλλιος
a)galmo/s,ἀγαλμός
a)galli/s,ἀγαλλίς
a)ga/llw,ἀγάλλω
a)/galma,ἄγαλμα
a)galmati/as,ἀγαλματίας
a)galma/tion,ἀγαλμάτιον
a)galmati/ths,ἀγαλματίτης
a)galmatoglu/fos,ἀγαλματογλύφος
a)galmatopoie/w,ἀγαλματοποιέω
a)galmatopoihtiko/s,ἀγαλματοποιητικός
a)galmatopoii/+a,ἀγαλματοποιΐα
a)galmatopoiiko/s,ἀγαλματοποιικός
a)galmatopoio/s,ἀγαλματοποιός
a)galmatourgi/a,ἀγαλματουργία
a)galmatourgiko/s,ἀγαλματουργικός
a)galmatourgo/s,ἀγαλματουργός
a)galmatofore/w,ἀγαλματοφορέω
a)galmatofo/ros,ἀγαλματοφόρος
a)galmatofw/ras,ἀγαλματοφώρας
a)galmato/w,ἀγαλματόω
a)galmatw/dhs,ἀγαλματώδης
a)galmhto/n,ἀγαλμητόν
a)galmoeidh/s,ἀγαλμοειδής
a)galmotupeu/s,ἀγαλμοτυπεύς
a)ga/loxon,ἀγάλοχον
a)/galsis,ἄγαλσις
a)/gamai,ἄγαμαι
*)agame/mnwn,Ἀγαμέμνων
a)galmooni/dhs,ἀγαλμοονίδης
a)game/nws,ἀγαμένως
a)ga/metos,ἀγάμετος
a)gami/a,ἀγαμία
a)gami/ou,ἀγαμίου
a)/gamos,ἄγαμος
a)/gan,ἄγαν
a)/gana,ἄγανα
a)ganakte/w,ἀγανακτέω
a)gana/kthsis,ἀγανάκτησις
a)ganakthte/on,ἀγανακτητέον
a)ganakthtiko/s,ἀγανακτητικός
a)ganakthto/s,ἀγανακτητός
a)ganaktiko/s,ἀγανακτικός
a)ga/netai,ἀγάνεται
a)ga/nna,ἀγάννα
a)ga/nnifos,ἀγάννιφος
a)ganoble/faros,ἀγανοβλέφαρος
a)gano/mmatos,ἀγανόμματος
a)gano/reios,ἀγανόρειος
a)gano/s1,ἀγανόσ
a)/ganos2,ἄγανος
a)ganofrosu/nh,ἀγανοφροσύνη
a)gano/frwn,ἀγανόφρων
a)ganw=pis,ἀγανῶπις
a)ga/nwtos,ἀγάνωτος
a)ga/omai,ἀγάομαι
a)gapa/zw,ἀγαπάζω
a)gapa/w,ἀγαπάω
a)ga/ph,ἀγάπη
a)ga/phma,ἀγάπημα
a)gaph/nwr,ἀγαπήνωρ
a)ga/phsis,ἀγάπησις
a)gaphsmo/s,ἀγαπησμός
a)gaphte/os,ἀγαπητέος
a)gaphtiko/s,ἀγαπητικός
a)gaphto/s,ἀγαπητός
a)gapw/ntws,ἀγαπώντως
a)gariko/n,ἀγαρικόν
a)garra/ptei,ἀγαρράπτει
a)/garris,ἄγαρρις
a)ga/rroos,ἀγάρροος
a)ga/s,ἀγάς
a)gasqenh/s,ἀγασθενής
a)/gasis,ἄγασις
a)/gasma,ἄγασμα
a)ga/stonos,ἀγάστονος
a)gasto/s,ἀγαστός
a)ga/stwr,ἀγάστωρ
a)gasulli/s,ἀγασυλλίς
a)ga/surtos,ἀγάσυρτος
a)gato/s,ἀγατός
a)gauo/s,ἀγαυός
a)gauri/ama,ἀγαυρίαμα
a)gauria/omai,ἀγαυριάομαι
a)gau/risma,ἀγαύρισμα
a)gauro/s,ἀγαυρός
a)ga/fqegktos,ἀγάφθεγκτος
a)ga/w,ἀγάω
a)/ggara,ἄγγαρα
a)ggarei/a,ἀγγαρεία
a)ggareuth/s,ἀγγαρευτής
